timestamp,x,y,z
1726361555.5910597,0.92,0.31,-0.73
1726361556.1116223,-0.06,0.43,0.55
1726361556.3635924,0.37,-1.04,1.28
1726361556.649038,-4.58,1.53,7.39
1726361556.9279952,-9.7,4.27,9.34
1726361557.1903872,-15.44,8.54,11.78
1726361557.443055,1.28,2.99,15.44
1726361557.6937091,-1.1,6.16,13.73
1726361557.9469616,2.01,0.67,0.67
1726361558.1977901,0.61,-1.22,-3.78
1726361558.4488184,-1.46,0.31,-2.38
1726361558.7012875,1.04,0.43,-1.1
1726361558.9538567,0.06,-0.98,0.37
1726361559.213593,0.12,-0.61,0.49
1726361559.4899607,0.55,-0.49,0.37
1726361559.7490196,0.55,-0.92,0.18
1726361560.0026689,0.85,-0.73,-0.24
1726361560.2749896,1.04,-0.98,-0.49
1726361560.5353937,0.79,-0.79,-0.06
1726361560.7889967,0.43,-0.98,0.18
1726361561.0422487,0.61,-0.79,0.12
1726361561.295108,0.55,-0.55,0.31
1726361561.550131,0.73,-0.55,0.0
1726361561.8341386,0.79,-0.31,0.06
1726361562.088681,0.73,-0.55,0.0
1726361562.3678346,0.61,-0.49,0.31
1726361562.617525,0.67,-0.37,0.31
1726361562.8715274,0.67,-0.49,0.18
1726361563.1246195,0.79,-0.24,0.24
1726361563.3794749,0.73,-0.55,0.0
1726361564.9608307,0.55,-0.49,0.18
1726361565.2157323,0.49,-0.43,0.31
1726361565.470866,0.73,-0.67,0.06
1726361565.7217536,0.73,-0.49,0.12
1726361565.9744813,0.67,-0.55,0.0
1726361566.2271578,0.49,-0.92,0.06
1726361566.4787571,0.06,-1.46,0.0
1726361566.7311583,-0.12,-1.71,-0.12
1726361566.979986,0.79,-0.37,0.49
1726361567.2294788,0.31,-0.31,0.49
1726361567.4831066,0.92,-0.55,-0.06
1726361567.7658505,0.98,-0.43,-0.12
1726361568.0392787,0.79,-0.31,0.06
1726361568.300964,0.67,-0.37,0.12
1726361568.55286,0.92,-0.18,0.12
1726361568.80049,0.73,-0.49,0.06
1726361569.054129,0.73,-0.37,0.06
1726361569.3055167,0.85,-0.43,0.06
1726361569.559214,0.73,-0.55,-0.06
1726361569.8073459,0.73,-0.43,0.12
1726361570.056705,0.73,-0.43,0.06
1726361570.310116,0.73,-0.49,0.12
1726361570.55976,0.67,-0.49,0.06
1726361570.8132215,0.79,-0.49,0.0
1726361571.0702538,0.55,-0.61,0.06
1726361571.3216646,0.37,-1.16,0.0
1726361571.5743685,0.67,-0.31,0.31
1726361571.8588157,0.73,-0.73,-0.06
1726361572.1082351,0.73,-0.79,-0.12
1726361572.3571916,0.55,-0.49,0.06
1726361572.6079066,0.55,-0.31,0.18
1726361572.8562868,0.85,-0.31,0.06
1726361573.108535,0.98,-0.37,-0.06
1726361573.3583627,0.85,-0.37,-0.06
1726361573.6061559,0.73,-0.43,0.06
1726361573.8556721,0.73,-0.55,-0.06
1726361574.1021948,0.43,-0.67,0.12
1726361574.3534818,0.55,-0.49,0.18
1726361574.6064215,0.79,-0.61,0.0
1726361574.8549147,1.04,-1.22,-0.67
1726361575.1030145,0.06,-0.61,0.12
1726361575.366872,0.49,-0.55,0.06
1726361575.6172073,0.79,-0.55,-0.06
1726361576.0408123,0.85,-0.67,-0.12
1726361576.290465,0.49,-0.43,0.12
1726361576.5416164,0.55,-0.55,0.12
1726361576.7934082,0.55,-0.67,0.0
1726361577.056435,0.79,-0.43,0.0
1726361577.3054094,0.67,-0.73,-0.12
1726361577.5575192,0.61,-0.67,-0.12
1726361577.8197846,0.92,-0.98,-0.37
1726361578.0749424,0.18,-0.98,0.0
1726361578.3271887,0.31,-1.53,-0.31
1726361578.578606,0.85,0.0,0.06
1726361578.8295918,0.43,-0.79,-0.31
1726361579.0810547,0.61,-0.67,-0.12
1726361579.3323717,0.73,-0.37,0.12
1726361579.587254,0.67,-0.61,0.18
1726361579.877021,0.55,-0.61,0.12
1726361580.1304553,0.24,-0.92,0.06
1726361580.3811114,0.55,-0.67,0.06
1726361580.65782,0.67,-0.61,0.18
1726361580.940399,0.67,-0.31,0.18
1726361581.195481,0.73,-0.24,0.0
1726361581.4521859,0.49,-0.73,0.12
1726361581.70458,0.92,-0.55,0.18
1726361581.9537606,0.12,0.06,0.55
1726361582.2333999,0.67,-0.55,0.12
1726361582.5382562,0.85,-0.37,0.18
1726361582.7894738,0.67,-0.73,-0.06
1726361583.0735958,0.61,-0.67,0.06
1726361583.5687072,0.61,-0.49,0.18
1726361583.822207,0.73,-0.73,0.0
1726361584.0727134,0.61,-0.67,0.12
1726361584.3205712,0.55,-0.73,0.12
1726361584.586108,0.55,-0.67,0.06
1726361584.852938,0.92,-0.79,-0.31
1726361585.106224,0.67,0.0,0.18
1726361585.36143,0.92,-0.49,-0.12
1726361585.6138754,0.85,-0.55,-0.18
1726361585.867945,0.98,-0.18,0.0
1726361586.122269,1.1,-0.18,-0.06
1726361586.3713508,0.73,-0.49,-0.06
1726361586.6248183,0.92,-0.18,0.12
1726361586.8746436,1.04,-0.37,-0.12
1726361587.1232266,0.85,-0.49,-0.12
1726361587.3785949,0.92,-0.43,0.06
1726361587.6314604,0.79,-0.55,0.0
1726361587.8792157,0.43,-0.73,0.12
1726361588.1298485,0.61,-0.55,0.06
1726361588.3831282,0.55,-0.55,0.0
1726361588.6374748,0.61,-0.49,0.06
1726361588.8922434,0.55,-0.49,0.06
1726361589.1402452,0.61,-0.49,0.0
1726361589.3872535,0.55,-0.67,0.0
1726361589.6552207,0.37,-0.43,0.31
1726361589.9211214,1.22,-1.46,-0.85
1726361590.446838,0.31,-0.06,0.31
1726361590.7097423,0.0,-0.79,0.24
1726361590.98041,0.79,-0.61,-0.06
1726361591.228319,0.55,-1.16,-0.37
1726361591.477351,0.55,-0.61,0.12
1726361591.728706,0.61,-0.67,0.12
1726361591.9800932,0.43,-0.73,0.0
1726361592.235368,0.61,-0.49,0.06
1726361592.485945,0.73,-0.73,-0.06
1726361592.7404969,0.49,-0.49,0.06
1726361592.9927568,0.67,-0.61,0.0
1726361593.2445276,0.67,-0.55,0.12
1726361593.4983208,0.73,-0.55,0.06
1726361593.7485297,0.67,-0.49,0.0
1726361594.0013998,0.67,-0.49,0.06
1726361594.2526512,0.61,-0.49,0.12
1726361594.5052917,0.73,-0.55,0.0
1726361594.7790205,0.67,-0.55,0.0
1726361595.0615077,0.67,-0.55,0.06
1726361595.3174748,0.61,-0.61,0.06
1726361595.5675313,0.73,-0.55,0.06
1726361595.8244529,0.55,-0.49,0.18
1726361596.0752625,0.67,-0.49,0.0
1726361596.3252923,0.67,-0.55,-0.06
1726361596.5767932,0.73,-0.55,0.0
1726361596.8321974,0.61,-0.55,0.18
1726361597.0868065,0.67,-0.55,0.12
1726361597.3371956,0.67,-0.55,-0.06
1726361597.5897777,0.67,-0.61,-0.06
1726361597.8426325,0.67,-0.49,0.06
1726361598.094828,0.79,-0.55,-0.06
1726361598.351152,0.79,-0.55,0.18
